Rainfall
3.1
0.2
0
22.5
58.3
66.4
77.9
59.9
157.3
123.9
297.2
52.1
0.1
7
9.9
11.2
46.6
68.2
60.3
88.8
96.7
214.5
315.9
163.1
7
27.6
5.5
48.3
66.6
38.6
75.3
66.1
84.2
230.6
229.1
27
23.8
3.3
16.7
39.5
139
64.6
86.7
121.1
94
143.1
107.9
3.7
7.6
3.6
5
91.5
34
125.3
55.4
112.4
141.2
149.7
106
237.6
7.7
0.2
2.3
42
49.2
50.4
63.5
56.4
116
169.5
258.1
135.2
6.9
5.7
4.1
23.6
55.8
43
101.9
152.9
121.8
124.7
242
197.4
8.3
24.1
3.9
56.9
74.5
46.4
55.3
74.8
73.1
268.9
182.8
53.6
30.3
74.5
9.4
41.6
54.7
52.2
45.8
136.1
169.8
120.3
148.3
88.9
21.8
10.9
13
93.8
45
39.9
37.2
18.7
53.8
69.5
52.3
27.6
2.9
22.1
3.9
9.2
32.6
23.7
11.8
26.5
32.2
93.7
47.2
12.2
0.3
4.1
18
17.1
19.8
22.5
38.7
49.3
26.1
86
59.5
7.1
2.8
0.7
3
16.2
101.1
21.2
98.6
85.1
208.3
271.1
204.5
25
4.1
11.1
24.4
128
80.6
35.7
87.9
93.3
117.9
280.5
353.4
148.5
15.3
0.2
52.4
32.6
65.4
57.2
33.6
73.4
116.3
240.4
215.1
26.1
7.2
7.5
1.8
58
44.9
73.1
101
136.5
89.1
248.9
79.2
219.9
11.7
29.1
164.7
31.5
53.7
51.1
73.1
126.5
70.7
242.7
298.5
50.1
7.9
0
41
41.4
74.8
27
42.1
96.9
114.4
62.1
314.7
106.2
11.8
0.2
1.9
22.9
91.9
70
81.4
102.9
111.1
148.1
328.6
124.5
4.3
11.2
8
91.5
33.4
56
45.5
128.9
76
200.4
230.5
41
3
0.1
2.5
35.5
41.9
30.1
46.5
98
84.9
235.2
44.5
14
3.9
30.9
30
20.3
42
54.6
42.7
110.7
113.5
127.9
112.3
53.2
7.4
6.1
8.1
8.3
139.1
47.8
50.6
117.7
98.9
252.2
110.8
66
8.3
2.3
21.7
108.8
112.4
62.4
43.5
81.6
98.4
132.6
379.8
152.8
2.5
0.8
3.1
6.3
102.5
63
86.8
55.1
49
65.8
33.8
66.5
37.3
1.1
35.4
17.3
73.5
47.9
42
159.4
165.3
155.5
141.5
96.8
